character,unicode,svg,advance_width,x_min,y_min,x_max,y_max,design,source_components
ϱ,U+03F1,svg/greek-rho-symbol-u03f1.svg,610,80.0,-259.0,550.776,502.005,Rho symbol with curling descending return.,"p, g"
ς,U+03C2,svg/greek-small-letter-final-sigma-u03c2.svg,585,79.183,-253.0,529.0,508.049,Final sigma with open bowl and descending hook.,s
ϖ,U+03D6,svg/greek-pi-symbol-u03d6.svg,735,32.0,-3.605,688.0,513.0,Pi symbol: omega-like bowl beneath top bar.,"pi, w"
∓,U+2213,svg/minus-or-plus-sign-u2213.svg,700,71.0,68.0,611.0,618.783,Vertical reflection of native plus-minus.,plusminus
∗,U+2217,svg/asterisk-operator-u2217.svg,700,139.0,144.0,556.0,549.0,Native asterisk centered on math axis.,asterisk
∘,U+2218,svg/ring-operator-u2218.svg,700,212.0,207.0,484.0,479.0,Native open bullet sized as composition operator.,openbullet
∬,U+222C,svg/double-integral-u222c.svg,1000,50.0,-257.0,919.0,810.0,Two native integral outlines.,integral
∭,U+222D,svg/triple-integral-u222d.svg,1340,50.0,-257.0,1259.0,810.0,Three native integral outlines.,integral
∮,U+222E,svg/contour-integral-u222e.svg,680,80.0,-257.0,609.0,810.0,Native integral with closed contour loop.,"integral, o"
∇,U+2207,svg/nabla-u2207.svg,730,59.0,-6.0,670.0,707.776,Inverted delta for nabla.,"A, delta"
≃,U+2243,svg/asymptotically-equal-to-u2243.svg,700,60.5,112.5,624.5,546.746,Tilde above one equality bar.,"approxequal, minus"
≅,U+2245,svg/approximately-equal-to-u2245.svg,700,60.5,41.0,624.0,666.746,Tilde above two equality bars.,"approxequal, equal"
≡,U+2261,svg/identical-to-u2261.svg,700,66.0,87.0,629.0,608.313,Three native-weight equality bars.,equal
≪,U+226A,svg/much-less-than-u226a.svg,920,64.0,80.0,844.0,548.0,Two native less-than outlines.,less
≫,U+226B,svg/much-greater-than-u226b.svg,920,64.0,80.0,844.0,548.0,Two native greater-than outlines.,greater
∝,U+221D,svg/proportional-to-u221d.svg,780,27.687,109.228,723.0,583.688,Open-right infinity form for proportionality.,infinity
≔,U+2254,svg/colon-equals-u2254.svg,815,84.0,139.0,730.0,525.0,Native dots alongside native equals.,"periodcentered, equal"
∈,U+2208,svg/element-of-u2208.svg,700,81.857,67.305,605.5,615.239,Curved membership sign with middle bar.,"C, equal"
∉,U+2209,svg/not-an-element-of-u2209.svg,700,81.857,14.5,605.5,678.5,Membership sign with negating slash.,element-of
∋,U+220B,svg/contains-as-member-u220b.svg,700,94.5,67.305,618.143,615.239,Reflected membership sign.,element-of
⊂,U+2282,svg/subset-of-u2282.svg,700,77.0,66.826,603.0,616.355,Open-right subset curve.,C
⊃,U+2283,svg/superset-of-u2283.svg,700,97.0,66.826,623.0,616.355,Reflected subset curve.,subset-of
⊆,U+2286,svg/subset-of-or-equal-to-u2286.svg,700,64.5,20.5,615.5,630.0,Subset curve above equality bar.,"subset-of, minus"
⊇,U+2287,svg/superset-of-or-equal-to-u2287.svg,700,84.5,20.5,635.5,630.0,Reflected subset-or-equal sign.,subset-of-or-equal-to
∪,U+222A,svg/union-u222a.svg,700,84.0,47.348,611.0,656.0,Broad U-shaped union.,U
∩,U+2229,svg/intersection-u2229.svg,700,84.0,44.0,611.0,652.652,Reflected union for intersection.,union
∖,U+2216,svg/set-minus-u2216.svg,700,117.0,25.0,575.0,667.0,Descending set-minus slash.,backslash
∀,U+2200,svg/for-all-u2200.svg,740,39.0,-10.0,704.0,710.0,Native A rotated half a turn.,A
∃,U+2203,svg/there-exists-u2203.svg,639,46.0,-7.0,571.0,710.0,Native E reflected horizontally.,E
∄,U+2204,svg/there-does-not-exist-u2204.svg,660,46.0,-56.5,571.0,754.5,Native-derived exists plus negation slash.,"E, exists"
∧,U+2227,svg/logical-and-u2227.svg,700,61.0,49.0,635.0,651.0,Logical wedge with rounded vertex.,A
∨,U+2228,svg/logical-or-u2228.svg,700,61.0,49.0,635.0,651.0,Reflected logical wedge.,logical-and
⊕,U+2295,svg/circled-plus-u2295.svg,710,46.755,7.343,661.22,636.571,Enclosing ring with inset plus.,"o, plus"
⊗,U+2297,svg/circled-times-u2297.svg,710,46.755,7.343,661.22,636.571,Enclosing ring with inset cross.,"o, multiply"
⇐,U+21D0,svg/leftwards-double-arrow-u21d0.svg,920,49.0,58.0,844.5,653.0,Reflected double arrow.,rightwards-double-arrow
⇒,U+21D2,svg/rightwards-double-arrow-u21d2.svg,920,75.5,58.0,871.0,653.0,Double shaft with open arrowhead.,arrowright
⇔,U+21D4,svg/left-right-double-arrow-u21d4.svg,995,17.0,58.0,940.0,653.0,Double-headed double arrow.,arrowboth
↦,U+21A6,svg/rightwards-arrow-from-bar-u21a6.svg,880,81.838,95.0,818.0,616.0,Native arrow with starting bar.,arrowright
⌈,U+2308,svg/left-ceiling-u2308.svg,490,105.0,-264.0,442.0,820.903,Left ceiling matching native bracket extents.,bracketleft
⌉,U+2309,svg/right-ceiling-u2309.svg,490,48.0,-264.0,385.0,820.903,Reflected ceiling.,left-ceiling
⌊,U+230A,svg/left-floor-u230a.svg,490,105.0,-270.903,442.0,814.0,Vertically reflected ceiling for floor.,left-ceiling
⌋,U+230B,svg/right-floor-u230b.svg,490,48.0,-270.903,385.0,814.0,Reflected floor.,left-floor
⋯,U+22EF,svg/midline-horizontal-ellipsis-u22ef.svg,700,95.0,292.0,605.0,392.0,Three native dots on math axis.,periodcentered
⋮,U+22EE,svg/vertical-ellipsis-u22ee.svg,390,145.0,60.0,245.0,622.0,Three native dots vertically.,periodcentered
⋱,U+22F1,svg/down-right-diagonal-ellipsis-u22f1.svg,700,95.0,60.0,605.0,622.0,Three native dots on descending diagonal.,periodcentered
ℏ,U+210F,svg/planck-constant-over-two-pi-u210f.svg,648,13.5,-11.0,594.0,760.0,Native h with slanted upper-stem bar.,h
ℝ,U+211D,svg/double-struck-capital-r-u211d.svg,850,26.109,-13.0,799.0,710.0,Native R with second left stem joined at its ends.,R
ℕ,U+2115,svg/double-struck-capital-n-u2115.svg,943,26.105,-13.0,820.632,710.0,Native N with second left stem joined at its ends.,N
ℤ,U+2124,svg/double-struck-capital-z-u2124.svg,780,55.5,-4.5,718.5,709.5,Drawn Z with two distinct parallel diagonals and joined top/bottom bars.,Z
ℚ,U+211A,svg/double-struck-capital-q-u211a.svg,790,52.947,-79.0,734.0,704.655,Drawn Q with a separated double left bowl and diagonal tail.,"Q, O"
ℂ,U+2102,svg/double-struck-capital-c-u2102.svg,750,52.947,-3.15,661.0,713.198,Drawn C with a separated parallel left arc.,C
ℙ,U+2119,svg/double-struck-capital-p-u2119.svg,780,26.105,-10.0,678.0,708.0,Native P with second left stem joined at its ends.,P
ℵ,U+2135,svg/alef-symbol-u2135.svg,720,51.5,-8.5,650.5,708.0,Aleph with diagonal spine and opposing upper/lower arms.,"X, N"
⊥,U+22A5,svg/up-tack-u22a5.svg,700,54.0,25.0,644.0,696.0,Perpendicular sign with centered stem.,T
∥,U+2225,svg/parallel-to-u2225.svg,700,168.214,16.0,528.233,681.0,Parallel sign with distinct vertical rules.,bar
∠,U+2220,svg/angle-u2220.svg,720,64.0,47.615,660.0,646.0,Angle with sloping ray and horizontal base.,less
